Exercise Type,Duration (min),Calories Burned,Meal Type,Calories Intake,"Macros (Protein, Carbs, Fat)",Water Intake (L),Hours Slept,Sleep Quality,Diet Plan,Vegetarian Meal Suggestion,Non-Vegetarian Meal Suggestion
Strength Training,72,583,Lunch,904,"15g Protein, 30g Carbs, 18g Fat",0.5,10,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Cycling,59,683,Lunch,240,"40g Protein, 95g Carbs, 18g Fat",2.2,5,Good,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Cycling,13,724,Snack,438,"46g Protein, 31g Carbs, 5g Fat",3.5,5,Excellent,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Shrimp and avocado salad
Yoga,57,796,Snack,238,"22g Protein, 87g Carbs, 20g Fat",0.8,4,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Running,103,252,Dinner,254,"46g Protein, 78g Carbs, 28g Fat",2.5,6,Fair,Carb-heavy meal for recovery.,Avocado toast with seeds,Beef stir-fry with vegetables
Running,70,509,Breakfast,764,"23g Protein, 41g Carbs, 8g Fat",1.5,6,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Cycling,62,208,Breakfast,246,"33g Protein, 88g Carbs, 11g Fat",2.7,10,Good,Carb-heavy meal for recovery.,Avocado toast with seeds,Beef stir-fry with vegetables
Strength Training,41,539,Lunch,987,"30g Protein, 44g Carbs, 30g Fat",3.2,6,Excellent,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Running,96,573,Dinner,415,"34g Protein, 96g Carbs, 17g Fat",2.6,9,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Cycling,13,500,Breakfast,785,"27g Protein, 27g Carbs, 23g Fat",1.6,4,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Swimming,53,344,Lunch,837,"35g Protein, 55g Carbs, 6g Fat",1.5,6,Good,Standard balanced diet.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Cycling,24,194,Snack,218,"22g Protein, 78g Carbs, 5g Fat",2.1,8,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Running,64,85,Snack,977,"31g Protein, 89g Carbs, 28g Fat",2.6,10,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Yoga,56,781,Dinner,990,"23g Protein, 88g Carbs, 10g Fat",2,8,Excellent,Balanced meal with lean protein.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Yoga,12,257,Dinner,380,"29g Protein, 37g Carbs, 16g Fat",1.1,10,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Running,72,697,Lunch,831,"32g Protein, 81g Carbs, 9g Fat",1.4,4,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Beef stir-fry with vegetables
Strength Training,96,748,Snack,936,"29g Protein, 81g Carbs, 18g Fat",2.5,4,Excellent,Balanced meal with lean protein.,Avocado toast with seeds,Shrimp and avocado salad
Strength Training,13,53,Lunch,452,"38g Protein, 58g Carbs, 20g Fat",3.4,9,Excellent,Balanced meal with lean protein.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Yoga,120,55,Lunch,466,"31g Protein, 56g Carbs, 11g Fat",1.3,5,Fair,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Cycling,44,528,Breakfast,871,"41g Protein, 82g Carbs, 15g Fat",2,8,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Cycling,90,149,Snack,623,"46g Protein, 61g Carbs, 5g Fat",3.4,8,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Swimming,35,797,Snack,245,"45g Protein, 55g Carbs, 26g Fat",2.5,5,Excellent,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Strength Training,23,209,Snack,209,"23g Protein, 24g Carbs, 11g Fat",3.3,6,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Swimming,31,241,Lunch,949,"38g Protein, 63g Carbs, 10g Fat",2.4,4,Good,Standard balanced diet.,Vegetable curry with quinoa,Beef stir-fry with vegetables
Running,58,500,Snack,609,"44g Protein, 21g Carbs, 11g Fat",0.8,8,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Running,40,394,Breakfast,857,"19g Protein, 22g Carbs, 9g Fat",0.9,5,Good,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Swimming,90,271,Snack,976,"43g Protein, 44g Carbs, 21g Fat",2.8,10,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Strength Training,48,740,Snack,908,"34g Protein, 67g Carbs, 20g Fat",2.7,4,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Yoga,51,723,Breakfast,779,"27g Protein, 100g Carbs, 8g Fat",2.2,10,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Yoga,64,536,Breakfast,286,"27g Protein, 40g Carbs, 20g Fat",1.4,8,Good,Balanced meal with lean protein.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Strength Training,84,397,Breakfast,635,"21g Protein, 34g Carbs, 17g Fat",0.5,8,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Yoga,18,744,Dinner,626,"35g Protein, 66g Carbs, 25g Fat",3.3,9,Excellent,Balanced meal with lean protein.,Vegetable curry with quinoa,Tuna sandwich with whole-grain bread
Yoga,114,283,Snack,261,"10g Protein, 85g Carbs, 19g Fat",2.1,9,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Strength Training,71,260,Lunch,617,"41g Protein, 56g Carbs, 9g Fat",3,9,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Roasted turkey with wild rice and green beans
Strength Training,36,595,Dinner,221,"44g Protein, 46g Carbs, 7g Fat",2.6,6,Fair,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Yoga,101,559,Dinner,448,"30g Protein, 57g Carbs, 10g Fat",3.2,5,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Running,115,787,Dinner,628,"13g Protein, 44g Carbs, 14g Fat",2.6,4,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Shrimp and avocado salad
Running,19,665,Breakfast,495,"50g Protein, 90g Carbs, 30g Fat",0.9,5,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Cycling,84,194,Breakfast,895,"11g Protein, 46g Carbs, 9g Fat",2.8,6,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Running,77,774,Dinner,219,"35g Protein, 69g Carbs, 21g Fat",3.2,7,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Yoga,39,664,Snack,940,"33g Protein, 37g Carbs, 17g Fat",0.8,5,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Baked salmon with sweet potato and spinach
Cycling,37,732,Lunch,638,"50g Protein, 83g Carbs, 12g Fat",2.6,10,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Tuna sandwich with whole-grain bread
Running,15,213,Lunch,738,"42g Protein, 67g Carbs, 8g Fat",2.9,6,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Running,49,717,Lunch,748,"15g Protein, 54g Carbs, 21g Fat",2.6,6,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Cycling,110,549,Lunch,849,"27g Protein, 93g Carbs, 20g Fat",2.1,4,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Running,78,242,Breakfast,557,"49g Protein, 66g Carbs, 12g Fat",1.9,10,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Strength Training,117,175,Lunch,982,"32g Protein, 48g Carbs, 6g Fat",3.2,7,Excellent,Balanced meal with lean protein.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Strength Training,114,645,Breakfast,834,"39g Protein, 25g Carbs, 28g Fat",1.4,9,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Running,77,147,Lunch,722,"44g Protein, 95g Carbs, 16g Fat",3.4,9,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Cycling,108,710,Dinner,633,"45g Protein, 31g Carbs, 20g Fat",3,10,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Shrimp and avocado salad
Yoga,106,762,Dinner,445,"20g Protein, 63g Carbs, 12g Fat",3.1,8,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Swimming,30,139,Breakfast,896,"14g Protein, 26g Carbs, 25g Fat",3,5,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Strength Training,97,551,Dinner,613,"11g Protein, 57g Carbs, 20g Fat",1.7,5,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Running,82,756,Lunch,314,"37g Protein, 86g Carbs, 25g Fat",1.7,9,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Yoga,46,783,Breakfast,977,"27g Protein, 73g Carbs, 10g Fat",2.2,10,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Swimming,61,769,Snack,339,"50g Protein, 73g Carbs, 27g Fat",1.5,7,Fair,Standard balanced diet.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Cycling,59,659,Snack,740,"17g Protein, 89g Carbs, 16g Fat",2.9,8,Excellent,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Shrimp and avocado salad
Cycling,45,776,Dinner,804,"26g Protein, 99g Carbs, 19g Fat",1.3,8,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Yoga,57,418,Lunch,857,"11g Protein, 38g Carbs, 20g Fat",1.7,9,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Yoga,11,113,Breakfast,611,"20g Protein, 40g Carbs, 5g Fat",3.1,7,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Strength Training,83,486,Breakfast,334,"49g Protein, 57g Carbs, 11g Fat",3.3,7,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Baked salmon with sweet potato and spinach
Cycling,96,499,Dinner,685,"47g Protein, 39g Carbs, 17g Fat",1.3,8,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Strength Training,78,111,Lunch,995,"40g Protein, 99g Carbs, 17g Fat",2.9,5,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Running,115,422,Lunch,267,"46g Protein, 70g Carbs, 19g Fat",1.1,4,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Cycling,31,283,Dinner,393,"21g Protein, 76g Carbs, 9g Fat",2.4,4,Excellent,Carb-heavy meal for recovery.,Avocado toast with seeds,Shrimp and avocado salad
Yoga,53,236,Dinner,960,"30g Protein, 31g Carbs, 12g Fat",3,10,Good,Balanced meal with lean protein.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Cycling,104,211,Dinner,262,"15g Protein, 91g Carbs, 21g Fat",1.6,6,Good,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Grilled chicken with quinoa and broccoli
Strength Training,43,769,Dinner,209,"44g Protein, 98g Carbs, 17g Fat",1.2,5,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Shrimp and avocado salad
Cycling,76,427,Breakfast,977,"39g Protein, 47g Carbs, 7g Fat",3.4,6,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Yoga,30,412,Lunch,897,"30g Protein, 58g Carbs, 28g Fat",1.9,9,Excellent,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Swimming,49,86,Snack,488,"27g Protein, 75g Carbs, 26g Fat",2.6,5,Fair,Standard balanced diet.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Swimming,51,369,Lunch,480,"43g Protein, 25g Carbs, 12g Fat",3.4,7,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Swimming,94,72,Snack,641,"23g Protein, 30g Carbs, 12g Fat",2.8,9,Excellent,Standard balanced diet.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Swimming,94,563,Breakfast,815,"44g Protein, 34g Carbs, 16g Fat",0.7,8,Good,Standard balanced diet.,Quinoa salad with chickpeas and veggies,Roasted turkey with wild rice and green beans
Strength Training,27,100,Breakfast,993,"41g Protein, 33g Carbs, 15g Fat",0.7,7,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Cycling,63,398,Snack,890,"23g Protein, 53g Carbs, 26g Fat",1,4,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Swimming,18,355,Snack,754,"27g Protein, 63g Carbs, 5g Fat",1.1,5,Fair,Standard balanced diet.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Yoga,81,502,Snack,824,"13g Protein, 76g Carbs, 10g Fat",2.5,4,Poor,High-protein meal with energizing carbs.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Yoga,76,296,Dinner,733,"17g Protein, 40g Carbs, 6g Fat",3,9,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Shrimp and avocado salad
Yoga,102,354,Snack,323,"19g Protein, 36g Carbs, 17g Fat",2.8,6,Fair,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Yoga,26,600,Breakfast,263,"24g Protein, 100g Carbs, 24g Fat",2.9,10,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Swimming,76,261,Dinner,727,"42g Protein, 72g Carbs, 22g Fat",1.2,8,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Shrimp and avocado salad
Swimming,86,127,Dinner,245,"14g Protein, 93g Carbs, 7g Fat",0.6,5,Excellent,Standard balanced diet.,Vegetable curry with quinoa,Shrimp and avocado salad
Running,102,608,Lunch,292,"17g Protein, 99g Carbs, 8g Fat",1.5,9,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Roasted turkey with wild rice and green beans
Swimming,92,282,Snack,956,"11g Protein, 32g Carbs, 23g Fat",1.8,6,Good,Standard balanced diet.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Swimming,63,500,Breakfast,664,"17g Protein, 66g Carbs, 9g Fat",2.8,10,Excellent,Standard balanced diet.,Avocado toast with seeds,Shrimp and avocado salad
Swimming,50,265,Lunch,961,"15g Protein, 37g Carbs, 15g Fat",0.8,4,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Roasted turkey with wild rice and green beans
Cycling,83,258,Breakfast,242,"21g Protein, 100g Carbs, 27g Fat",3.5,9,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Strength Training,40,727,Dinner,878,"16g Protein, 98g Carbs, 16g Fat",1.7,4,Fair,Balanced meal with lean protein.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Cycling,117,400,Dinner,643,"42g Protein, 37g Carbs, 29g Fat",2.9,6,Good,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Running,119,566,Dinner,488,"30g Protein, 68g Carbs, 9g Fat",2.5,4,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Yoga,49,138,Breakfast,583,"46g Protein, 31g Carbs, 10g Fat",1.6,10,Fair,Balanced meal with lean protein.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Running,68,202,Lunch,345,"14g Protein, 92g Carbs, 13g Fat",3,6,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Swimming,46,223,Lunch,451,"15g Protein, 45g Carbs, 18g Fat",0.8,7,Excellent,Standard balanced diet.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Swimming,35,194,Lunch,723,"13g Protein, 32g Carbs, 24g Fat",1.8,5,Excellent,Standard balanced diet.,Greek yogurt with berries and granola,Shrimp and avocado salad
Running,56,776,Snack,505,"38g Protein, 62g Carbs, 11g Fat",1,6,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Strength Training,17,586,Lunch,556,"44g Protein, 93g Carbs, 25g Fat",3.1,9,Excellent,Balanced meal with lean protein.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Cycling,93,199,Breakfast,355,"14g Protein, 64g Carbs, 18g Fat",2.9,4,Fair,Carb-heavy meal for recovery.,Avocado toast with seeds,Beef stir-fry with vegetables
Cycling,118,324,Breakfast,394,"14g Protein, 32g Carbs, 27g Fat",2.5,8,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Beef stir-fry with vegetables
Cycling,73,617,Lunch,698,"40g Protein, 64g Carbs, 26g Fat",2.3,8,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Grilled chicken with quinoa and broccoli
Yoga,98,116,Snack,516,"44g Protein, 45g Carbs, 18g Fat",0.6,9,Good,Balanced meal with lean protein.,Tofu stir-fry with brown rice,Shrimp and avocado salad
Strength Training,36,447,Breakfast,260,"22g Protein, 73g Carbs, 21g Fat",3.1,7,Good,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Running,26,95,Lunch,707,"21g Protein, 52g Carbs, 17g Fat",1.6,7,Fair,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Running,46,224,Snack,338,"36g Protein, 46g Carbs, 29g Fat",2.5,6,Fair,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Scrambled eggs with turkey sausage
Running,10,716,Lunch,710,"14g Protein, 76g Carbs, 8g Fat",3.3,7,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Cycling,86,86,Lunch,731,"13g Protein, 100g Carbs, 8g Fat",2.6,6,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Swimming,93,648,Dinner,509,"26g Protein, 38g Carbs, 29g Fat",2.3,4,Excellent,Standard balanced diet.,Lentil soup with whole-grain bread,Shrimp and avocado salad
Running,88,352,Dinner,717,"46g Protein, 44g Carbs, 12g Fat",3.4,8,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Roasted turkey with wild rice and green beans
Swimming,29,68,Breakfast,588,"19g Protein, 70g Carbs, 21g Fat",0.9,10,Good,Standard balanced diet.,Tofu stir-fry with brown rice,Beef stir-fry with vegetables
Running,115,81,Dinner,422,"27g Protein, 29g Carbs, 23g Fat",2.1,10,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Scrambled eggs with turkey sausage
Running,117,53,Dinner,366,"37g Protein, 95g Carbs, 14g Fat",2.5,9,Excellent,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Shrimp and avocado salad
Swimming,119,237,Breakfast,789,"31g Protein, 75g Carbs, 7g Fat",1.8,6,Excellent,Standard balanced diet.,Avocado toast with seeds,Baked salmon with sweet potato and spinach
Running,108,771,Breakfast,698,"38g Protein, 59g Carbs, 21g Fat",1.5,4,Fair,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Swimming,24,92,Snack,453,"14g Protein, 21g Carbs, 13g Fat",3.2,5,Good,Standard balanced diet.,Greek yogurt with berries and granola,Scrambled eggs with turkey sausage
Swimming,106,483,Snack,326,"15g Protein, 79g Carbs, 23g Fat",2.9,8,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Beef stir-fry with vegetables
Yoga,37,194,Snack,776,"27g Protein, 50g Carbs, 14g Fat",1.4,4,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Yoga,95,775,Snack,904,"11g Protein, 73g Carbs, 5g Fat",3.2,5,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Roasted turkey with wild rice and green beans
Swimming,54,223,Breakfast,395,"13g Protein, 26g Carbs, 21g Fat",3.3,8,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Grilled chicken with quinoa and broccoli
Running,49,702,Snack,303,"11g Protein, 77g Carbs, 11g Fat",0.9,10,Poor,High-protein meal with energizing carbs.,Greek yogurt with berries and granola,Shrimp and avocado salad
Strength Training,114,107,Lunch,878,"25g Protein, 25g Carbs, 22g Fat",0.7,6,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Shrimp and avocado salad
Yoga,47,260,Breakfast,726,"25g Protein, 71g Carbs, 17g Fat",1.2,10,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Baked salmon with sweet potato and spinach
Yoga,22,437,Snack,860,"35g Protein, 80g Carbs, 23g Fat",3.2,7,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Yoga,101,530,Snack,711,"28g Protein, 60g Carbs, 29g Fat",2,8,Poor,High-protein meal with energizing carbs.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Swimming,110,676,Snack,998,"48g Protein, 23g Carbs, 8g Fat",2.1,7,Good,Standard balanced diet.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Strength Training,30,371,Lunch,516,"32g Protein, 43g Carbs, 12g Fat",3.1,6,Good,Balanced meal with lean protein.,Vegetable omelet with spinach,Shrimp and avocado salad
Cycling,32,696,Snack,459,"45g Protein, 28g Carbs, 8g Fat",2.3,4,Excellent,Carb-heavy meal for recovery.,Tofu stir-fry with brown rice,Tuna sandwich with whole-grain bread
Running,11,599,Dinner,675,"29g Protein, 98g Carbs, 7g Fat",2.9,4,Good,Carb-heavy meal for recovery.,Greek yogurt with berries and granola,Grilled chicken with quinoa and broccoli
Strength Training,49,398,Breakfast,875,"11g Protein, 27g Carbs, 7g Fat",1.9,4,Excellent,Balanced meal with lean protein.,Quinoa salad with chickpeas and veggies,Shrimp and avocado salad
Running,88,441,Snack,896,"26g Protein, 46g Carbs, 25g Fat",1.6,4,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Grilled chicken with quinoa and broccoli
Running,111,475,Snack,277,"48g Protein, 72g Carbs, 9g Fat",1.8,10,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Running,104,439,Snack,900,"11g Protein, 66g Carbs, 21g Fat",1.7,9,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Baked salmon with sweet potato and spinach
Cycling,109,551,Snack,696,"46g Protein, 78g Carbs, 30g Fat",2.5,7,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Tuna sandwich with whole-grain bread
Swimming,61,546,Snack,825,"21g Protein, 34g Carbs, 6g Fat",2,6,Excellent,Standard balanced diet.,Avocado toast with seeds,Beef stir-fry with vegetables
Running,11,745,Breakfast,214,"10g Protein, 65g Carbs, 29g Fat",2.1,7,Good,Carb-heavy meal for recovery.,Vegetable omelet with spinach,Roasted turkey with wild rice and green beans
Yoga,112,220,Lunch,383,"16g Protein, 43g Carbs, 14g Fat",2.6,10,Poor,High-protein meal with energizing carbs.,Avocado toast with seeds,Scrambled eggs with turkey sausage
Swimming,46,729,Lunch,831,"28g Protein, 51g Carbs, 26g Fat",2.1,6,Poor,High-protein meal with energizing carbs.,Vegetable curry with quinoa,Scrambled eggs with turkey sausage
Running,65,704,Dinner,998,"40g Protein, 72g Carbs, 9g Fat",1.9,9,Excellent,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Strength Training,80,631,Snack,541,"20g Protein, 55g Carbs, 28g Fat",1.9,9,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Cycling,117,485,Snack,345,"30g Protein, 61g Carbs, 21g Fat",1,8,Excellent,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Grilled chicken with quinoa and broccoli
Yoga,108,440,Breakfast,673,"41g Protein, 79g Carbs, 10g Fat",1.6,8,Good,Balanced meal with lean protein.,Avocado toast with seeds,Tuna sandwich with whole-grain bread
Cycling,13,326,Dinner,244,"21g Protein, 86g Carbs, 15g Fat",1.7,4,Fair,Carb-heavy meal for recovery.,Vegetable curry with quinoa,Scrambled eggs with turkey sausage
Strength Training,38,751,Dinner,464,"27g Protein, 56g Carbs, 15g Fat",1,9,Good,Balanced meal with lean protein.,Avocado toast with seeds,Beef stir-fry with vegetables
Yoga,95,756,Snack,793,"23g Protein, 59g Carbs, 21g Fat",1.8,9,Good,Balanced meal with lean protein.,Vegetable curry with quinoa,Grilled chicken with quinoa and broccoli
Running,22,68,Snack,620,"47g Protein, 37g Carbs, 10g Fat",0.8,5,Good,Carb-heavy meal for recovery.,Quinoa salad with chickpeas and veggies,Tuna sandwich with whole-grain bread
Cycling,78,685,Lunch,566,"23g Protein, 47g Carbs, 20g Fat",2.6,10,Poor,High-protein meal with energizing carbs.,Lentil soup with whole-grain bread,Baked salmon with sweet potato and spinach
Strength Training,82,606,Breakfast,680,"12g Protein, 82g Carbs, 22g Fat",2.7,5,Good,Balanced meal with lean protein.,Greek yogurt with berries and granola,Roasted turkey with wild rice and green beans
Swimming,15,519,Breakfast,927,"38g Protein, 40g Carbs, 17g Fat",1.3,7,Good,Standard balanced diet.,Vegetable omelet with spinach,Beef stir-fry with vegetables
Yoga,69,254,Dinner,241,"15g Protein, 69g Carbs, 13g Fat",3,10,Fair,Balanced meal with lean protein.,Vegetable curry with quinoa,Shrimp and avocado salad
Strength Training,51,325,Breakfast,778,"13g Protein, 61g Carbs, 20g Fat",1.6,4,Fair,Balanced meal with lean protein.,Avocado toast with seeds,Roasted turkey with wild rice and green beans
Running,107,167,Breakfast,435,"11g Protein, 92g Carbs, 10g Fat",0.8,8,Poor,High-protein meal with energizing carbs.,Vegetable omelet with spinach,Scrambled eggs with turkey sausage
Yoga,65,478,Lunch,733,"45g Protein, 55g Carbs, 18g Fat",0.9,5,Excellent,Balanced meal with lean protein.,Greek yogurt with berries and granola,Tuna sandwich with whole-grain bread
Cycling,72,615,Lunch,423,"42g Protein, 29g Carbs, 14g Fat",1.9,10,Fair,Carb-heavy meal for recovery.,Lentil soup with whole-grain bread,Shrimp and avocado salad
